Acetaldehyde	(E) 2-Butenal (Crotonaldehyde	CO	CO2	Ethylene (Ethene)	Ethanol	Crotyl Alcohol	H2	H2O
0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8173764450044863	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8542027652539383
0.08115823593409295	0.046194279848421345	0.0	0.0	0.2664284248589027	0.11489835165755463	0.03464936879892195	0.0	0.0
0.0587069856196149	0.12381616161746725	0.0	0.0	0.3089486201085915	0.2573860380516046	0.12836737249745386	0.0	0.0
0.4629053400988497	0.0	0.9614052420020347	0.08629144248966533	0.48787429038398883	0.0	0.04370709726185263	0.0	0.0
0.758412337481304	0.0956093719518997	0.0	0.0	0.0	0.33261517994589435	0.22115766193046554	0.0	0.0
0.0	0.0	0.0	0.0	0.0	1.0821423713574558	0.08573620669030702	0.0	0.0
0.0	0.20831796036042052	0.0	0.0	0.0	0.0	0.13961715567319719	0.0	0.0
0.0414134549719764	0.21011699754905486	0.0	0.0	0.0	0.0	0.08140856141642966	0.0	0.0
0.7583364886626739	0.0	0.0	0.7213975474992345	0.0	0.0	0.027330066439776344	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.47356941550890325	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.23674443851934637	0.0	0.0
0.0	0.16205585192741512	0.0	0.0	0.0	0.0	0.0	0.0	0.0
