Mass,Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
12.0,0.0,0.0,6.486611186604434,12.669056743741788,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,8.741178933351353,6.975898176308159,0.0,0.0
16.0,0.0,0.0,0.0,12.61081693347501,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.709628952576004
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000001
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,8.137505758572408,0.0,0.0,0.0,0.0
26.0,9.20941195945514,15.17844129538308,0.0,0.0,54.363622787581455,10.433524365618991,10.101494033450535,0.0,0.0
27.0,6.674055063114724,40.758389259712736,0.0,0.0,63.15602601092442,23.41547235218619,37.49260685803491,0.0,0.0
28.0,52.766188788025985,0.0,100.0,10.33995281248303,100.0,0.0,12.799897231921948,0.0,0.0
29.0,86.75457296058401,31.668473139592653,0.0,0.0,0.0,30.447173866894424,64.99500167120415,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,8.196727576736661,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,100.0,25.436239779400537,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,13.870329400484696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,22.310908827078954,0.0,0.0,0.0,0.0,10.242066588499265,0.0,0.0
39.0,0.0,74.58785208603133,0.0,0.0,0.0,0.0,44.35386621463316,0.0,0.0
40.0,0.0,20.773345862827913,0.0,0.0,0.0,0.0,6.147267210420466,0.0,0.0
41.0,0.0,77.05689771029273,0.0,0.0,0.0,0.0,26.489375776485566,0.0,0.0
42.0,0.0,23.181993965688378,0.0,0.0,0.0,0.0,6.923432726468111,0.0,0.0
43.0,0.0,0.0,0.0,0.0,0.0,11.14624647802543,35.149324820877986,0.0,0.0
44.0,100.0,0.0,0.0,100.0,0.0,0.0,9.259120078954652,0.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,50.70482242815011,0.0,0.0,0.0
46.0,0.0,0.0,0.0,0.0,0.0,21.446894425177554,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,6.050831195657283,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6672287794367,0.0,0.0
54.0,0.0,0.0,0.0,0.0,0.0,0.0,8.692824748188974,0.0,0.0
55.0,0.0,0.0,0.0,0.0,0.0,0.0,8.412866979400503,0.0,0.0
56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,0.0,77.16386726310049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,0.0,10.028154154940731,0.0,0.0,0.0,0.0,9.614830916367486,0.0,0.0
72.0,0.0,0.0,0.0,0.0,0.0,0.0,36.35777212144587,0.0,0.0
73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
